iter	Passed	Remaining
0	138	69301
1	144	35893
2	149	24845
3	155	19322
4	161	15979
5	166	13729
6	171	12104
7	177	10891
8	182	9961
9	187	9191
10	193	8581
11	198	8069
12	204	7644
13	209	7283
14	215	6966
15	220	6678
16	226	6422
17	231	6190
18	236	5984
19	241	5801
20	246	5632
21	251	5473
22	257	5333
23	262	5202
24	267	5080
25	272	4967
26	277	4861
27	282	4765
28	287	4676
29	293	4594
30	298	4513
31	303	4436
32	308	4371
33	314	4306
34	319	4244
35	324	4188
36	330	4131
37	335	4074
38	340	4023
39	345	3973
40	351	3931
41	356	3888
42	362	3848
43	367	3808
44	372	3767
45	377	3726
46	382	3688
47	388	3654
48	393	3622
49	398	3590
50	404	3559
51	409	3530
52	415	3501
53	420	3472
54	425	3445
55	431	3417
56	436	3390
57	441	3364
58	446	3340
59	452	3317
60	457	3293
61	463	3274
62	469	3255
63	474	3233
64	480	3215
65	486	3195
66	490	3172
67	495	3150
68	500	3127
69	505	3105
70	510	3085
71	515	3063
72	520	3043
73	525	3022
74	529	3003
75	534	2982
76	539	2964
77	544	2947
78	549	2929
79	554	2911
80	559	2895
81	564	2878
82	569	2861
83	574	2845
84	579	2829
85	584	2813
86	589	2798
87	594	2783
88	599	2768
89	604	2753
90	609	2738
91	614	2724
92	619	2710
93	624	2696
94	628	2681
95	634	2668
96	639	2654
97	644	2642
98	649	2628
99	653	2615
100	658	2602
101	663	2589
102	668	2576
103	673	2564
104	678	2551
105	682	2538
106	687	2525
107	692	2513
108	697	2501
109	701	2488
110	706	2475
111	711	2463
112	716	2452
113	720	2441
114	725	2429
115	730	2417
116	735	2406
117	739	2394
118	743	2380
119	747	2368
120	752	2355
121	756	2343
122	760	2331
123	764	2318
124	768	2306
125	773	2295
126	777	2284
127	781	2272
128	786	2261
129	790	2250
130	794	2239
131	799	2228
132	803	2217
133	807	2206
134	811	2195
135	816	2184
136	820	2175
137	825	2164
138	829	2153
139	833	2143
140	838	2133
141	842	2123
142	846	2113
143	850	2103
144	855	2093
145	859	2083
146	863	2074
147	868	2064
148	872	2055
149	876	2045
150	880	2035
151	884	2026
152	889	2016
153	893	2007
154	897	1998
155	901	1988
156	906	1979
157	910	1970
158	914	1961
159	918	1952
160	922	1942
161	927	1934
162	931	1925
163	935	1916
164	939	1908
165	943	1898
166	948	1890
167	952	1881
168	956	1873
169	960	1865
170	965	1856
171	969	1848
172	973	1840
173	977	1831
174	981	1823
175	986	1815
176	990	1807
177	994	1799
178	998	1791
179	1003	1783
180	1007	1775
181	1011	1767
182	1015	1759
183	1019	1751
184	1023	1743
185	1027	1735
186	1032	1728
187	1036	1720
188	1040	1712
189	1045	1705
190	1049	1697
191	1053	1690
192	1057	1682
193	1062	1675
194	1066	1668
195	1070	1660
196	1074	1653
197	1079	1645
198	1083	1638
199	1087	1631
200	1091	1624
201	1095	1616
202	1099	1609
203	1104	1602
204	1108	1595
205	1112	1588
206	1117	1582
207	1122	1575
208	1126	1568
209	1130	1561
210	1134	1554
211	1139	1547
212	1143	1540
213	1147	1533
214	1151	1526
215	1155	1519
216	1160	1513
217	1164	1506
218	1168	1499
219	1172	1492
220	1176	1485
221	1181	1479
222	1185	1472
223	1189	1465
224	1193	1458
225	1197	1451
226	1201	1445
227	1205	1438
228	1209	1431
229	1213	1424
230	1217	1418
231	1221	1411
232	1226	1405
233	1230	1398
234	1234	1392
235	1238	1385
236	1242	1379
237	1246	1372
238	1250	1365
239	1254	1358
240	1258	1352
241	1262	1345
242	1266	1339
243	1270	1332
244	1274	1326
245	1278	1319
246	1282	1313
247	1285	1306
248	1289	1300
249	1293	1293
250	1298	1287
251	1301	1281
252	1305	1275
253	1309	1268
254	1313	1262
255	1318	1256
256	1322	1250
257	1326	1243
258	1330	1237
259	1334	1231
260	1337	1225
261	1341	1219
262	1346	1213
263	1350	1206
264	1354	1200
265	1358	1194
266	1362	1188
267	1366	1182
268	1369	1176
269	1373	1170
270	1378	1164
271	1381	1158
272	1385	1152
273	1389	1146
274	1393	1140
275	1397	1134
276	1401	1128
277	1405	1122
278	1408	1115
279	1412	1109
280	1416	1104
281	1420	1098
282	1424	1092
283	1428	1086
284	1432	1080
285	1436	1074
286	1440	1068
287	1443	1062
288	1448	1057
289	1452	1051
290	1456	1046
291	1460	1040
292	1464	1034
293	1468	1028
294	1472	1023
295	1476	1017
296	1480	1012
297	1484	1006
298	1488	1000
299	1492	995
300	1496	989
301	1500	983
302	1504	978
303	1508	972
304	1512	966
305	1516	961
306	1520	955
307	1524	950
308	1528	944
309	1532	939
310	1536	933
311	1540	928
312	1543	922
313	1547	916
314	1551	911
315	1555	905
316	1559	900
317	1563	894
318	1567	889
319	1571	883
320	1575	878
321	1579	873
322	1583	867
323	1587	862
324	1591	856
325	1595	851
326	1598	845
327	1603	840
328	1606	835
329	1610	829
330	1614	824
331	1618	818
332	1622	813
333	1625	807
334	1629	802
335	1633	797
336	1637	791
337	1641	786
338	1644	781
339	1648	775
340	1652	770
341	1656	765
342	1660	760
343	1664	754
344	1668	749
345	1672	744
346	1676	739
347	1680	733
348	1683	728
349	1687	723
350	1691	718
351	1695	712
352	1699	707
353	1703	702
354	1707	697
355	1710	692
356	1714	686
357	1718	681
358	1722	676
359	1726	671
360	1730	666
361	1734	661
362	1738	656
363	1742	650
364	1746	645
365	1749	640
366	1753	635
367	1757	630
368	1762	625
369	1765	620
370	1769	615
371	1773	610
372	1777	605
373	1781	600
374	1785	595
375	1789	590
376	1793	584
377	1797	580
378	1800	574
379	1805	570
380	1809	565
381	1813	560
382	1816	555
383	1821	550
384	1825	545
385	1829	540
386	1833	535
387	1837	530
388	1841	525
389	1845	520
390	1849	515
391	1853	510
392	1857	505
393	1861	500
394	1865	495
395	1868	490
396	1873	485
397	1877	481
398	1880	476
399	1884	471
400	1888	466
401	1892	461
402	1896	456
403	1900	451
404	1904	446
405	1908	441
406	1912	436
407	1916	432
408	1919	427
409	1923	422
410	1927	417
411	1931	412
412	1935	407
413	1939	402
414	1943	398
415	1946	393
416	1950	388
417	1955	383
418	1959	378
419	1963	373
420	1966	369
421	1971	364
422	1974	359
423	1978	354
424	1982	349
425	1986	345
426	1990	340
427	1994	335
428	1998	330
429	2001	325
430	2005	321
431	2009	316
432	2014	311
433	2018	306
434	2022	302
435	2025	297
436	2029	292
437	2033	287
438	2037	283
439	2041	278
440	2045	273
441	2049	268
442	2053	264
443	2056	259
444	2060	254
445	2064	249
446	2068	245
447	2072	240
448	2076	235
449	2080	231
450	2084	226
451	2088	221
452	2092	217
453	2097	212
454	2103	208
455	2108	203
456	2114	198
457	2119	194
458	2124	189
459	2129	185
460	2135	180
461	2140	176
462	2145	171
463	2150	166
464	2156	162
465	2161	157
466	2166	153
467	2171	148
468	2176	143
469	2181	139
470	2186	134
471	2191	130
472	2197	125
473	2202	120
474	2207	116
475	2212	111
476	2217	106
477	2222	102
478	2227	97
479	2232	93
480	2237	88
481	2242	83
482	2247	79
483	2252	74
484	2257	69
485	2262	65
486	2267	60
487	2272	55
488	2277	51
489	2281	46
490	2287	41
491	2292	37
492	2297	32
493	2302	27
494	2307	23
495	2312	18
496	2317	13
497	2322	9
498	2327	4
499	2332	0
